t,Pxerr_Boris,Pxerr_RK4,Pxerr_SPPINN
-90.0,0.0,0.0,0.0
-89.6,1.6259183073515462e-06,7.192922472920582e-15,2.9347921662314924e-13
-89.2,2.356314011672583e-06,5.2530679459095175e-15,7.021930779893548e-13
-88.8,1.906566053134248e-06,7.116594639977603e-15,1.2154208845968628e-12
-88.4,1.5594326635136758e-07,5.237260278234679e-14,1.7613443255987127e-12
-88.0,2.8027516214826007e-06,8.482711061352788e-14,2.2043176745728532e-12
-87.6,6.643839430179308e-06,1.26647932592594e-13,2.484148628988103e-12
-87.2,1.082833569993741e-05,1.2739592367139174e-13,2.4876566735373973e-12
-86.8,1.4665395709385042e-05,1.5173160037434963e-13,2.239067438403186e-12
-86.4,1.7411458219664306e-05,1.5337286562305819e-13,1.6789501104501336e-12
-86.0,1.839535773368099e-05,1.2320765067908024e-13,8.317563760136537e-13
-85.6,1.7151005785513316e-05,6.407266210650686e-14,1.964013804020559e-13
-85.2,1.3534835989655915e-05,4.4454240635816156e-14,1.1639480611974617e-12
-84.8,7.804250407992663e-06,1.3477066684863814e-14,1.949019938496388e-12
-84.4,6.365394424449628e-07,2.737957430221094e-14,2.3059843964889915e-12
-84.0,6.924758966194745e-06,6.55278782624169e-14,2.2096443598462745e-12
-83.6,1.359803769746356e-05,6.453415276122532e-14,1.5635260013774355e-12
-83.2,1.8055143558819728e-05,5.063939718941146e-14,4.16796588562085e-13
-82.8,1.915179394012547e-05,1.4701998299337937e-14,1.112361938671036e-12
-82.4,1.6161482235024262e-05,5.954568435551089e-14,2.765249834668637e-12
-82.0,8.971212333418188e-06,1.362850804431659e-13,4.156588701703656e-12
-81.6,1.8022085256524413e-06,1.5957807991684447e-13,4.99879955137561e-12
-81.2,1.4808592162417894e-05,2.1670599342771268e-13,5.376389871497578e-12
-80.8,2.809155170812455e-05,2.544683214145138e-13,5.28733697449657e-12
-80.4,3.9343770397654585e-05,2.039004815684864e-13,4.44751548957234e-12
-80.0,4.6264313325058894e-05,1.4845205143290685e-13,2.458926833849573e-12
-79.6,4.6969550610169225e-05,6.667192839482361e-14,8.869827615443082e-13
-79.2,4.0392008354275376e-05,5.2591177940319866e-14,4.881346628987648e-12
-78.8,2.659351718436835e-05,2.2972162366796667e-13,8.116115418621561e-12
-78.4,6.923560700641991e-06,2.758080222542425e-13,9.354999414012966e-12
-78.0,1.6028337809621818e-05,3.4504343826569084e-13,8.921805134953775e-12
-77.6,3.870785581142934e-05,3.1937386762992404e-13,7.497465322192642e-12
-77.2,5.7083326232473634e-05,2.8844374805325756e-13,5.219318250163085e-12
-76.8,6.729029506598577e-05,1.959723616024034e-13,1.2590937407269687e-12
-76.4,6.63415128158585e-05,4.5766342104958113e-14,4.0345808291486485e-12
-76.0,5.278433825212699e-05,1.1084102385927608e-13,7.752044665909619e-12
-75.6,2.7179232977849258e-05,3.377090274092609e-13,6.871459998225582e-12
-75.2,7.71175629482937e-06,5.799319358068544e-13,2.5266160691428396e-12
-74.8,4.7099491748211694e-05,8.211261531831937e-13,6.020149656560392e-13
-74.4,8.472384348381934e-05,7.490466580328814e-13,4.492072512574108e-12
-74.0,0.00011374787336691479,6.693530278656379e-13,8.613626305276068e-12
-73.6,0.00012788280056546,4.634916582479942e-13,9.92156877488437e-13
-73.2,0.00012257758389255888,1.6669825242399128e-13,2.1229279618950603e-11
-72.8,9.606595269215888e-05,8.353040481523522e-14,4.274119946856558e-11
-72.4,5.005890364369846e-05,4.337988301905682e-13,4.336751964484353e-11
-72.0,1.0087314444332321e-05,3.80110873332562e-13,2.191409900764718e-11
-71.6,7.581839924355321e-05,6.486616799250555e-13,2.69099499627945e-12
-71.2,0.0001364417721206393,5.334604286089117e-13,3.870240933290248e-12
-70.8,0.00018070384757662384,3.5294141741137874e-13,1.0858573805741512e-11
-70.4,0.0001986937566286328,5.263151026113633e-15,7.545291648425323e-12
-70.0,0.00018378199334000145,5.225559568389215e-13,4.407049551680142e-11
-69.6,0.00013422998382914275,7.607976748591483e-13,3.686670760338906e-11
-69.2,5.4118204527883046e-05,1.6065170027612652e-12,5.7343817194688285e-11
-68.8,4.6643613614272966e-05,1.974143071237222e-12,1.80672782290614e-10
-68.4,0.00015329541794476334,1.8814255708932137e-12,2.0402883896264434e-10
-68.0,0.0002481310722728721,1.6025410165543263e-12,8.86124697924151e-11
-67.6,0.0003131668334108921,1.2069110901652413e-12,1.5422104782461532e-11
-67.2,0.0003332773853222705,5.893653620692163e-13,8.38361446237057e-11
-66.8,0.0002992919464434307,2.0209181550434607e-13,3.4209906782378674e-10
-66.4,0.00021037920281412326,7.831998938279128e-13,4.4172534380271244e-10
-66.0,7.513103678546962e-05,1.565615692644684e-12,1.4491448319109423e-10
-65.6,8.890312703980358e-05,2.2160051571518125e-12,3.3577746832991195e-10
-65.2,0.00025713794722452554,2.3323634690264328e-12,5.043208142763156e-10
-64.8,0.0004011451877557644,2.0445520276801687e-12,2.1607388100974845e-10
-64.4,0.0004929774705462345,1.2275409096325351e-12,2.2664333571790346e-11
-64.0,0.0005102671904359014,5.034167527284694e-15,3.101119395998442e-10
-63.599999999999994,0.000441150088392718,1.5293044608455375e-12,8.277412713586507e-10
-63.2,0.0002876236122176315,2.5941609971269486e-12,4.040755854917144e-10
-62.8,6.635912696658502e-05,3.8064482121846765e-12,1.3491386202657552e-09
-62.4,0.00019293867123377356,4.169310729995601e-12,3.0786648924641113e-09
-62.0,0.0004508954695728942,4.089881211477575e-12,2.914856564451007e-09
-61.599999999999994,0.0006632762071464328,3.2557880003114548e-12,9.982790115381501e-10
-61.2,0.0007876687391360371,2.0101446548959068e-12,8.956607157328822e-12
-60.8,0.0007919084841944771,1.509001257282705e-13,1.9364334025162577e-09
-60.4,0.0006621014237009892,2.7443602945709245e-12,4.8096096688654555e-09
-60.0,0.00040690853073196975,4.375902418196631e-12,3.973508744259391e-09
-59.599999999999994,5.663252997249735e-05,5.216632681381839e-12,1.9172787385501877e-09
-59.2,0.00034099864373707267,6.4565297552832135e-12,7.866690049374014e-09
-58.8,0.0007257353413490653,6.678990693842479e-12,7.641186197671068e-09
-58.4,0.001030703154280839,5.446400275221919e-12,2.2279433228855616e-09
-58.0,0.0011923828400704807,2.4272233528632725e-12,2.431234900901469e-10
-57.6,0.001165543686834719,1.3712850299718582e-12,6.4911574379489245e-09
-57.2,0.0009370648470202608,5.044700768230825e-12,1.226036697166144e-08
-56.8,0.0005297633573262406,6.889627757189487e-12,3.6607095132978884e-09
-56.4,4.662636815200294e-06,7.947836833110955e-12,1.893401688213281e-08
-56.0,0.0005948387262819099,9.709011372649456e-12,3.584379298926521e-08
-55.6,0.0011540261590760464,1.0627665414375542e-11,2.8723539519104335e-08
-55.199999999999996,0.0015835937359360217,7.991843298249535e-12,6.699158006107098e-09
-54.8,0.001787716663069542,1.8692720982205202e-12,2.1051447841868853e-09
-54.4,0.0017032078906380893,6.1248922600398714e-12,2.8280004546465953e-08
-54.0,0.0013253045366224125,1.1519479814481315e-11,5.1434528886007413e-08
-53.6,0.0007049607989041973,1.278521732928084e-11,2.665402210055845e-08
-53.199999999999996,7.589572849098225e-05,1.3129330955763407e-11,4.151890251047341e-08
-52.8,0.0009214440858929807,1.5954820797858815e-11,9.279664842098967e-08
-52.4,0.0017172775563098208,1.751798706095542e-11,7.476035784881319e-08
-52.0,0.002320458679994891,1.2295948981222438e-11,1.5612794036778954e-08
-51.6,0.002580819971200028,2.2868235083350896e-12,8.06041569600957e-09
-51.199999999999996,0.0024079128403243777,1.8898355103047493e-11,8.049277583355163e-08
-50.8,0.0018235097261775357,2.7673335845079805e-11,1.2671183605150738e-07
-50.4,0.0009322285626456317,2.7565949523022937e-11,3.303978424185061e-08
-50.0,0.00014714512507779665,2.5719759655373764e-11,1.6684229164898312e-07
-49.6,0.0013076370971812357,2.7766233756665315e-11,3.046761732905523e-07
-49.199999999999996,0.00242171068747557,3.074815402293041e-11,2.411473523089569e-07
-48.8,0.0032907767033651253,2.0026910685366772e-11,5.43722915580247e-08
-48.4,0.003664168342180245,1.3792599007356188e-11,2.10214682605514e-08
-48.0,0.003393865811179758,4.979275325389665e-11,2.3972036627961657e-07
-47.6,0.0025602312451893927,6.198669355583775e-11,4.0944613222126947e-07
-47.199999999999996,0.0013676672379251964,5.607625475079203e-11,2.1991219456563016e-07
-46.8,2.167095254418383e-05,4.912348305907699e-11,2.6764858879202436e-07
-46.4,0.0015206230378859154,5.30548383004259e-11,6.84920883675666e-07
-46.0,0.003038933266838739,6.259515128448356e-11,6.610097401660298e-07
-45.6,0.004351252524775806,5.3031440350181924e-11,2.2657494988531646e-07
-45.199999999999996,0.005035599077841853,1.7090641402095486e-11,1.0321408956681655e-08
-44.8,0.004763993737037259,1.0434789143864975e-10,4.513735933076024e-07
-44.4,0.003688883975195678,1.3225637252034517e-10,9.230903396661994e-07
-44.0,0.002208885695762053,1.2041645458538142e-10,6.472994260597886e-07
-43.6,0.0005689525232674963,1.0475031952950076e-10,3.575198432859139e-07
-43.199999999999996,0.0011805576318094646,9.967904279761797e-11,1.4739377804939835e-06
-42.8,0.00306296857538918,1.0791267879284305e-10,1.9201424495962627e-06
-42.4,0.004998384421488922,1.2373446711677616e-10,1.231647119903645e-06
-42.0,0.006513290768237728,4.967336264538602e-11,1.2731493992390597e-07
-41.6,0.00677488665832271,1.6237383659856164e-10,4.031109896718288e-07
-41.199999999999996,0.005651875932848771,2.750840111254149e-10,1.8471510756512544e-06
-40.8,0.0038986844914340457,2.677886801194518e-10,2.3462426520515223e-06
-40.4,0.002057035982912847,2.4382373897680054e-10,1.1910460927522237e-06
-40.0,0.00022754309531336503,2.308181423771316e-10,9.6181942266238e-07
-39.6,0.0016898019422341148,2.2355972628673726e-10,3.0633164409543667e-06
-39.199999999999996,0.0038545248690060596,2.381033148424194e-10,3.972925405326677e-06
-38.8,0.00632880182097878,2.683288036209319e-10,2.7721751536535777e-06
-38.4,0.008543149890510221,1.5557463650672787e-10,3.802298274291349e-07
-38.0,0.008916771840862286,3.08712805319189e-10,7.488250900467008e-07
-37.6,0.007211557896176557,5.024218818761028e-10,3.6539279277825187e-06
-37.199999999999996,0.004962018048895067,4.855554847082999e-10,4.6938673139429454e-06
-36.8,0.002916343659330689,4.503970529867729e-10,2.993285459718109e-06
-36.4,0.0010874738461255085,4.406126574707514e-10,3.46040200049913e-07
-36.0,0.0006941434460612239,4.351987659134693e-10,4.122639155390573e-06
-35.6,0.0026453362692464566,4.150823018633787e-10,7.186700858530237e-06
-35.199999999999996,0.005040062937535561,4.138654974283895e-10,8.165555792971624e-06
-34.8,0.008126642292721087,4.6055603775130294e-10,5.53328121533081e-06
-34.4,0.011199956478740752,2.591920289507499e-10,6.323682204267822e-07
-34.0,0.011297847191194754,7.036129456849949e-10,1.9989399563380417e-06
-33.6,0.008560404783612752,9.064585748674858e-10,7.717963841802344e-06
-33.199999999999996,0.005801434615243739,8.534991602360265e-10,9.472467883409053e-06
-32.8,0.003654009036367478,8.274865237467566e-10,7.25919249977558e-06
-32.4,0.001922324258564423,8.343195023741146e-10,2.8899788895309086e-06
-32.0,0.0003772371588357526,8.397853523689491e-10,2.3645018696338838e-06
-31.6,0.0011754539310693257,8.368736814645672e-10,7.606296103190857e-06
-31.199999999999996,0.002945498684525205,8.117819749742239e-10,1.194160752682194e-05
-30.799999999999997,0.005239725247668359,8.074112489708796e-10,1.4064618394593609e-05
-30.4,0.008552486316256713,8.609984947227645e-10,1.1762060331377278e-05
-30.0,0.013021908334506282,9.298284919800892e-10,3.5497617095758827e-06
-29.6,0.014706243571513566,7.311989902447635e-10,1.3020982977951512e-06
-29.199999999999996,0.011116982547600851,1.3473049342849208e-09,1.112074938380836e-05
-28.799999999999997,0.007521811311714144,1.2408609695313544e-09,1.5746311931685852e-05
-28.4,0.005052349990126714,1.2193694942652655e-09,1.436763520268336e-05
-28.0,0.0032833001459235955,1.2055161313639928e-09,9.90563450109505e-06
-27.6,0.001883910942517275,1.1799419219471474e-09,3.997805418487488e-06
-27.199999999999996,0.0006568653385032874,1.1746246197930077e-09,2.5049933156662263e-06
-26.799999999999997,0.0005342423933729634,1.1587180104299932e-09,9.069197187239197e-06
-26.4,0.001815694574910598,1.1364094110177803e-09,1.5221341091997687e-05
-26.0,0.0033517442207364745,1.1104004382644916e-09,2.0332729324445964e-05
-25.599999999999994,0.00542493597762661,1.086077006107189e-09,2.32735344529722e-05
-25.200000000000003,0.008610746906470013,1.1231955365786916e-09,2.1656116626189714e-05
-24.799999999999997,0.013887824292580286,1.4108307855309477e-09,1.1185695625193226e-05
-24.400000000000006,0.018544148990556807,2.7778043754089765e-10,1.379165064790966e-07
-24.0,0.014342051943529555,2.2225546958409836e-09,1.4788833945122981e-05
-23.599999999999994,0.00947389531391063,2.0624786323253375e-09,2.4877310336401948e-05
-23.200000000000003,0.006497418558516044,2.0173289705383013e-09,2.55474439314618e-05
-22.799999999999997,0.004573463159487368,2.0017025814667022e-09,2.1810752883544282e-05
-22.400000000000006,0.0031884847111731673,1.9768284786891854e-09,1.606629340922261e-05
-22.0,0.00209108390469126,1.9587702571044474e-09,9.365014559614693e-06
-21.599999999999994,0.0011454404063355739,1.9319479349633184e-09,2.222422705422389e-06
-21.200000000000003,0.00026553653672811706,1.895325674183823e-09,5.063327999099698e-06
-20.799999999999997,0.0006159575521600402,1.8668990797721108e-09,1.227275411652684e-05
-20.39999999999999,0.0015673653143926103,1.8181569583219925e-09,1.918317320193097e-05
-20.0,0.0026787410766213604,1.7435730637060942e-09,2.548547622205355e-05
-19.599999999999994,0.004097980148491498,1.7076131619830903e-09,3.0639345495631076e-05
-19.200000000000003,0.006116158165412555,1.7035974853030211e-09,3.352885973506581e-05
-18.799999999999997,0.009404802775934362,1.7382737471649534e-09,3.1504227656853345e-05
-18.39999999999999,0.01553456583011148,2.2153940903990588e-09,1.829137352271637e-05
-18.0,0.022467844021160262,1.9367472209319558e-10,7.465829218733511e-08
-17.599999999999994,0.01646498364804605,3.0537379291928346e-09,2.2008485123681254e-05
-17.200000000000003,0.01053274454565134,2.880806926341961e-09,3.552964433239936e-05
-16.799999999999997,0.0073012901503299865,2.8307294286378237e-09,3.6904571496521044e-05
-16.39999999999999,0.005334086951055639,2.785131458793444e-09,3.337589344654113e-05
-16.0,0.003982519708424448,2.716499913901771e-09,2.773308075409986e-05
-15.599999999999994,0.0029632728527486663,2.632599471752428e-09,2.1086233104927743e-05
-15.200000000000003,0.002135970498719608,2.5283322102609418e-09,1.3939175354416022e-05
-14.799999999999997,0.0014218281386177978,2.438816260053045e-09,6.549810626310659e-06
-14.399999999999991,0.0007708440050873122,2.334714199747623e-09,9.328314800605142e-07
-14.0,0.00014661795860426707,2.218923711438947e-09,8.408165790729782e-06
-13.599999999999994,0.0004820438961274931,2.12567607960068e-09,1.579214247193761e-05
-13.200000000000003,0.001147261108147113,2.010331456858694e-09,2.2994600918924135e-05
-12.799999999999997,0.0018886672457631981,1.898488921625585e-09,2.989438198497396e-05
-12.399999999999991,0.0027635783597776964,1.8129204804040455e-09,3.6300094711005926e-05
-12.0,0.0038670698278191473,1.7085044490272594e-09,4.187078814155143e-05
-11.599999999999994,0.005379147395711437,1.640999558460976e-09,4.592706093364818e-05
-11.200000000000003,0.007695190092562365,1.6439452021899115e-09,4.692884308421519e-05
-10.799999999999997,0.011849365046729732,1.8564831893996825e-09,4.080512316662066e-05
-10.399999999999991,0.020552365775546977,3.1869820116270375e-09,1.7148290313628856e-05
-10.0,0.02546978049188392,3.1521792398514492e-09,6.608697038057443e-06
-9.599999999999994,0.015587497634356628,4.739118653063201e-09,4.130840433891336e-05
-9.200000000000003,0.010135396031831778,4.787808371986557e-09,5.2142168600610717e-05
-8.799999999999997,0.007292175580632998,4.7629871158250126e-09,5.212771251961179e-05
-8.399999999999991,0.005548220624630229,4.646504070393576e-09,4.809921928972116e-05
-8.0,0.004344633876249837,4.4529753218114365e-09,4.2335297991691334e-05
-7.599999999999994,0.0034414589111522176,4.268847497712613e-09,3.573480049645639e-05
-7.200000000000003,0.002719565826482917,4.044999002417171e-09,2.8707123975291182e-05
-6.799999999999997,0.002112637454210642,3.837812290186093e-09,2.1459957071368052e-05
-6.3999999999999915,0.0015800839469974903,3.6069778275304998e-09,1.4107990888412303e-05
-6.0,0.0010947998989427887,3.351848132382429e-09,6.720006293647884e-06
-5.599999999999994,0.0006369809994262177,3.090490086066211e-09,6.585047089835427e-07
-5.200000000000003,0.00019062047090523393,2.8202533641774608e-09,7.993117109972303e-06
-4.799999999999997,0.00025879548229879035,2.5250663782117044e-09,1.5252660266362739e-05
-4.3999999999999915,0.0007261646896514762,2.2637496321920025e-09,2.240280215959345e-05
-4.0,0.0012287649736157924,2.0092638663982143e-09,2.9399274565466982e-05
-3.5999999999999943,0.001788982542418438,1.7399646168314575e-09,3.6177893057764976e-05
-3.200000000000003,0.002438802084229419,1.463497323328511e-09,4.263768079670882e-05
-2.799999999999997,0.0032282504669698397,1.1911911457218594e-09,4.860847096388454e-05
-2.3999999999999915,0.004243216885628787,9.790741550830262e-10,5.378155402979701e-05
-2.0,0.005648075574148592,7.931313383835459e-10,5.7543306859919596e-05
-1.5999999999999943,0.007804836115129499,7.317337846757255e-10,5.851177965232601e-05
-1.2000000000000028,0.011679486914035309,1.1026308754935599e-09,5.299001579261997e-05
-0.7999999999999972,0.020382361653288328,3.1615111639737847e-09,2.9525530406138145e-05
-0.3999999999999915,0.03047443048672513,2.022957440450668e-09,3.2601066873583218e-06
0.0,0.01805774986028963,7.506093524511925e-09,5.070489556535662e-05
0.4000000000000057,0.011371562670466462,8.058451239634223e-09,6.60560264078569e-05
0.7999999999999972,0.008150136789868867,8.11346190232598e-09,6.724374002242683e-05
1.2000000000000028,0.006259476773188055,7.907454246947054e-09,6.371868410326442e-05
